(* Library holdings (# of books in each library), *)
(* collected by Christian Ayotte.                 *)
(* Labels not available.                          *)


data -         12201
data -        600778
data -         14926
data -         37863
data -         14866
data -          9896
data -          8064
data -          9047
data -          3388
data -         21625
data -          8779
data -          7150
data -          9441
data -         10993
data -          7850
data -          7445
data -        276157
data -         13902
data -         13078
data -          8658
data -         22852
data -         21803
data -         17050
data -         34419
data -          3240
data -        106000
data -          8365
data -         74343
data -         55626
data -         65248
data -         15390
data -         11693
data -          8248
data -         14566
data -         11296
data -         11300
data -         17926
data -          2199
data -         42999
data -          7842
data -         28966
data -         11068
data -          2733
data -         11538
data -         29684
data -         57448
data -         11824
data -         34681
data -         10701
data -          4000
data -         13555
data -          7685
data -          6850
data -         11500
data -         46628
data -         57232
data -         21774
data -         45531
data -          8700
data -          6520
data -         10741
data -          8458
data -         43690
data -         11735
data -         18558
data -          3213
data -          4802
data -          6500
data -          4952
data -          9255
data -          4600
data -          1050
data -          7178
data -          3817
data -           991
data -         14064
data -          4200
data -          4680
data -          2566
data -          4830
data -          2781
data -          5884
data -          6564
data -          1770
data -          8150
data -          1200
data -          6274
data -          9209
data -          6730
data -          9736
data -          9577
data -         54347
data -         10750
data -         17744
data -         22453
data -         15495
data -         88085
data -         23106
data -         23881
data -         14369
data -         13288
data -         13342
data -         26620
data -        138631
data -         29630
data -          6456
data -         51633
data -         15024
data -         55406
data -          6560
data -          5269
data -         11154
data -         11754
data -         14327
data -         69097
data -         13712
data -         34644
data -         41658
data -          7411
data -         11049
data -         14406
data -         39325
data -         12748
data -         16919
data -         11355
data -         18477
data -          8413
data -         10575
data -        120267
data -         30003
data -         10964
data -         10797
data -         56317
data -         54178
data -         32269
data -          4585
data -         21266
data -         16778
data -         81866
data -         23214
data -          9286
data -         36808
data -         22391
data -         60835
data -         80181
data -         15646
data -          4595
data -         15938
data -          9427
data -         18406
data -         11948
data -          5194
data -          9703
data -         25570
data -          3379
data -         55179
data -         97155
data -         28351
data -         31501
data -         13491
data -         35222
data -         48916
data -         39503
data -         48070
data -          7462
data -          4844
data -         29115
data -         34509
data -         12115
data -         68787
data -        118471
data -         38206
data -         27880
data -         54581
data -         21749
data -         84371
data -        195148
data -         39567
data -         39269
data -         33270
data -         12361
data -         30505
data -         37559
data -         63084
data -         91828
data -         24002
data -        838199
data -         79263
data -          6795
data -         36426
data -         37444
data -          7296
data -         71540
data -         39958
data -         19368
data -        202166
data -         26299
data -         45832
data -         27269
data -          6935
data -          6544
data -         43506
data -         48289
data -         49780
data -         82463
data -         12723
data -         42096
data -         19472
data -         20769
data -         25133
data -          8079
data -         15416
data -         37707
data -          6741
data -         57895
data -         16424
data -         10223
data -          9546
data -         11191
data -         17386
data -         11239
data -         14107
data -          5074
data -         30045
data -         15093
data -         24360
data -        130751
data -         48702
data -         31434
data -          3488
data -        194374
data -         29466
data -         18207
data -         19836
data -         66204
data -         64165
data -         27097
data -          7081
data -        555157
data -         15157
data -         30990
data -         13139
data -         24089
data -         20136
data -         19702
data -         19883
data -         13268
data -         41111
data -         27591
data -         15572
data -         10690
data -          9594
data -         12098
data -         75849
data -         45096
data -         31572
data -        457317
data -        548606
data -         10524
data -         13403
data -         11173
data -          8708
data -         72595
data -         24567
data -         64146
data -         73135
data -        181323
data -         42924
data -         25447
data -         80336
data -         63823
data -          9941
data -          9803
data -         20787
data -         10975
data -         37746
data -         14269
data -         13948
data -          6840
data -          6884
data -          4669
data -          7360
data -         26544
data -         12848
data -          5750
data -         20679
data -          5903
data -         11108
data -          6066
data -          6000
data -          6012
data -          3576
data -        626802
data -        323714
data -         68950
data -        256432
data -        146451
data -        113823
data -        169210
data -        167050
data -        128452
data -        125888
data -        232511
data -        137767
data -        135473
data -        141629
data -         85552
data -        154027
data -        161829
data -         94505
data -         65116
data -        109057
data -         79587
data -         39405
data -         50078
data -         80361
data -         55431
data -         85707
data -         32564
data -         66274
data -         33645
data -         41525
data -         66650
data -        305203
data -        161068
data -        105987
data -         10600
data -         28347
data -         80294
data -         89581
data -        106637
data -         97307
data -         69884
data -         15817
data -         69033
data -         47380
data -         13431
data -         60125
data -         20692
data -         62714
data -        292561
data -        289798
data -         25450
data -         76888
data -         28834
data -        516480
data -         31116
data -         26232
data -        336551
data -        553520
data -        688918
data -       1569039
data -        684252
data -        465367
data -         21309
data -         36489
data -        188376
data -         12027
data -        364599
data -       1287502
data -         59218
data -         11881
data -        471204
data -        238364
data -         12650
data -         39278
data -        177256
data -         50731
data -        258261
data -         13433
data -         26111
data -         13926
data -        174283
data -          4096
data -       1010590
data -        207224
data -        153206
data -         13719
data -        134678
data -         80796
data -        451345
data -        158548
data -        292661
data -        122653
data -        433829
data -        317077
data -         46777
data -         98397
data -        324340
data -        233170
data -        280172
data -         84372
data -         58375
data -        280458
data -         86599
data -        197680
data -        415154
data -         80902
data -         99826
